year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2023,三支一扶,2023安徽三支一扶招募,区辖乡镇,1012 区辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：井岗镇人民政府；招聘人数：1；报名人数：556；合格人数：407；缴费人数：185,安徽 合肥市蜀山区,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,区辖乡镇,1013 区辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：青年工作；服务单位：井岗镇人民政府；招聘人数：2；报名人数：1279；合格人数：1033；缴费人数：470,安徽 合肥市蜀山区,https://www.xduim.com/zw/szyf,,专业：不限
2025,三支一扶,2025安徽三支一扶招募,区辖乡镇,1007 区辖乡镇,大专及以上,大专：4401建筑设计类、4402城乡规划与管理类、4403土建施工类； 本科：0705地理科学类、0801力学类、0810土木类、0828建筑类； 研究生：0705地理学、0801力学、0813建筑学、0814土木工程，0833城乡规划学，0851建筑、0853城乡规划。,,笔试+面试,,,招募类别：乡村振兴协理-建规；服务单位：乡镇政府；招聘人数：5；报名人数：443；合格人数：340；缴费人数：182,安徽 合肥市蜀山区,https://www.xduim.com/zw/szyf,,专业：大专：4401建筑设计类、4402城乡规划与管理类、4403土建施工类； 本科：0705地理科学类、0801力学类、0810土木类、0828建筑类； 研究生：0705地理学、0801力学、0813建筑学、0814土木工程，0833城乡规划学，0851建筑、0853城乡规划。
2025,三支一扶,2025安徽三支一扶招募,区辖乡镇,1008 区辖乡镇,大专及以上,大专：5804法律实务类、5805法律执行类； 本科：0301法学类； 研究生：0301法学、0351法律。,,笔试+面试,,,招募类别：乡村振兴协理-法律；服务单位：井岗镇；招聘人数：3；报名人数：280；合格人数：214；缴费人数：111,安徽 合肥市蜀山区,https://www.xduim.com/zw/szyf,,专业：大专：5804法律实务类、5805法律执行类； 本科：0301法学类； 研究生：0301法学、0351法律。
2025,三支一扶,2025安徽三支一扶招募,区辖乡镇,1009 区辖乡镇,大专及以上,大专：4101农业类； 本科：0901植物生产类； 研究生：0901作物学、0903农业资源与环境、0904植物保护、0951农业。,,笔试+面试,,,招募类别：支农-农技；服务单位：小庙镇人民政府；招聘人数：2；报名人数：137；合格人数：99；缴费人数：51,安徽 合肥市蜀山区,https://www.xduim.com/zw/szyf,,专业：大专：4101农业类； 本科：0901植物生产类； 研究生：0901作物学、0903农业资源与环境、0904植物保护、0951农业。
2025,三支一扶,2025安徽三支一扶招募,长丰县卫生健康委,1005 长丰县卫生健康委,本科及以上,本科：100201K临床医学专业； 研究生：1002临床医学、1051临床医学。,,笔试+面试,,,招募类别：支医；服务单位：岗集中心卫生院；招聘人数：1；报名人数：20；合格人数：15；缴费人数：6,安徽 合肥市长丰县,https://www.xduim.com/zw/szyf,,专业：本科：100201K临床医学专业； 研究生：1002临床医学、1051临床医学。
2025,三支一扶,2025安徽三支一扶招募,长丰县卫生健康委,1006 长丰县卫生健康委,大专及以上,大专：520102K口腔医学； 本科：100301K口腔医学； 研究生：1003口腔医学、1052口腔医学。,,笔试+面试,,,招募类别：支医；服务单位：义井镇卫生院；招聘人数：1；报名人数：34；合格人数：17；缴费人数：13,安徽 合肥市长丰县,https://www.xduim.com/zw/szyf,,专业：大专：520102K口腔医学； 本科：100301K口腔医学； 研究生：1003口腔医学、1052口腔医学。
2022,三支一扶,2022安徽三支一扶招募,县水利局,16015 县水利局,大专及以上,水利大类(大专)，水利类(本科),,笔试+面试,,,招募类别：支农；服务单位：乡镇水利站；招聘人数：5,安徽 安庆市太湖县,https://www.xduim.com/zw/szyf,,专业：水利大类(大专)，水利类(本科)
2022,三支一扶,2022安徽三支一扶招募,县卫健委,16016 县卫健委,大专及以上,临床医学类（大专），临床医学类、中医学类、中西医结合类、口腔医学类（本科）,,笔试+面试,,,招募类别：支医；服务单位：乡镇卫生院；招聘人数：8,安徽 安庆市太湖县,https://www.xduim.com/zw/szyf,,专业：临床医学类（大专），临床医学类、中医学类、中西医结合类、口腔医学类（本科）
2022,三支一扶,2022安徽三支一扶招募,县教育局,16017 县教育局,大专及以上,不限,,笔试+面试,,,招募类别：支教；服务单位：基层学校；招聘人数：3,安徽 安庆市太湖县,https://www.xduim.com/zw/szyf,,专业：不限
